Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
BISCUIT,33.15,307,6.66,10.58,3.3,46.32,0.7,7.4,0.051,0.00248,0.017,0.47,0.162,0.977,5.00E-04,9.00E-05,4.38E-04,8.00E-06,1.00E-04,3.91E-04,2.90E-04,0.003308,3.46E-04,6.30E-05,5.70E-05,4.60E-05,1.10E-05,8.90E-05,0,5.00E-08,2.00E-06,0,0,0,0,8.00E-06,6.90E-04,0,6.20E-06,2.806,6.559,0.681,0.001,2.40E-06
BISCUITS,28.9,329.5,6.895,11.125,3.275,48.725,2,7.66,0.038,0.00276,0.018,0.438,0.174,0.9485,5.10E-04,8.90E-05,3.64E-04,1.78E-05,5.00E-05,4.22E-04,2.95E-04,0.003376,3.41E-04,4.65E-05,7.65E-05,6.45E-05,1.10E-05,1.22E-04,0.011,4.00E-08,0,0,0,0,0,9.00E-06,1.30E-04,0,4.10E-06,3.394,3.569,2.3495,5.00E-04,6.00E-07
BISON,68.34,162.5,22.84,7.915,0.965,0.025,0,0,0.0125,0.002985,0.022,0.2035,0.3405,0.073,0.004965,1.46E-04,0,2.56E-05,0,1.40E-04,2.55E-04,0.005644,0,3.92E-04,1.40E-05,0,1.40E-05,1.40E-05,0.0915,2.19E-06,0,0,0,0,0,0,1.95E-04,0,1.25E-06,3.203,3.023,0.369,0.063,0
BLACKBERRIES,85.13,58,1.245,0.46,0.38,12.755,4.2,7.775,0.025,6.35E-04,0.0185,0.018,0.1195,0.002,2.15E-04,1.49E-04,6.72E-04,4.00E-07,0.0039,2.80E-05,4.25E-05,4.80E-04,2.14E-04,3.75E-05,2.60E-05,0,2.60E-05,2.60E-05,0.0085,0,0,0,9.80E-05,0,0,1.18E-04,0.00104,0,1.66E-05,0.014,0.041,0.245,0,4.92E-05
BLACKBERRY JUC,90.9,38,0.3,0.6,0.4,7.8,0.1,7.7,0.012,4.80E-04,0.021,0.012,0.135,0.001,4.10E-04,1.14E-04,0,3.00E-07,0.0113,1.20E-05,1.80E-05,4.46E-04,0,2.10E-05,1.00E-05,0,1.00E-05,1.00E-05,0.0066,0,0,0,7.40E-05,0,0,6.80E-05,9.00E-04,0,1.52E-05,0.018,0.058,0.344,0,3.69E-05
BLUEBERRIES,80.805,73,0.675,0.335,0.185,18.22,2.6,18.365,0.0105,4.10E-04,0.006,0.012,0.06,0.003,1.20E-04,5.30E-05,3.88E-04,1.00E-07,0.00195,3.35E-05,7.65E-05,4.44E-04,1.24E-04,4.90E-05,7.00E-06,0,7.00E-06,7.00E-06,0.0053,0,0,0,3.10E-05,0,0,7.05E-05,5.45E-04,0,1.74E-05,0.028,0.047,0.146,0,1.62E-05
BLUEFISH,66.75,141.5,22.865,4.84,1.185,0,0,0,0.008,5.50E-04,0.0375,0.259,0.4245,0.0685,9.25E-04,6.05E-05,2.40E-05,4.16E-05,0,6.25E-05,8.85E-05,0.0065985,8.91E-04,4.33E-04,2.00E-06,0,2.00E-06,2.00E-06,0,5.80E-06,1.29E-04,0,0,0,0,0,0,0,0,1.0435,2.045,1.209,0.0675,1.29E-04
BOLOGNA,55.93,281,11.33,23.77,3.37,5.2,0,0,0.082,0.00116,0.015,0.181,0.281,1.013,0.0015,5.30E-05,4.00E-05,1.16E-05,0.001,6.30E-05,1.32E-04,0.003187,7.20E-04,1.90E-04,6.00E-06,0,6.00E-06,6.00E-06,0.05385,9.30E-07,1.10E-05,0,0,0,0,0,2.60E-04,7.50E-07,3.00E-07,7.389,10.269,2.107,0.06,2.25E-05
BORAGE,91.88,25,2.09,0.81,1.67,3.55,0,0,0.102,0.00364,0.057,0.055,0.491,0.088,2.20E-04,1.43E-04,3.85E-04,9.00E-07,0.0325,5.90E-05,1.65E-04,9.40E-04,4.50E-05,8.80E-05,1.00E-05,0,1.00E-05,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.197,0.245,0.127,0,0.0013155
BOYSENBERRIES,81.08,69,1.045,0.19,0.43,17.25,3.95,6.89,0.0225,6.40E-04,0.0135,0.0185,0.1145,0.002,2.05E-04,7.50E-05,3.99E-04,3.00E-07,0.00465,3.95E-05,3.30E-05,4.99E-04,1.91E-04,4.70E-05,4.85E-05,0,4.85E-05,4.85E-05,0.0102,0,0,0,4.00E-05,0,0,1.18E-04,8.70E-04,0,7.80E-06,0.0065,0.0185,0.108,0,1.61E-05
BRATWURST,60.865,254.5,16.58,19.765,1.84,1.425,0,0,0.0195,7.00E-04,0.022,0.184,0.2795,0.459,0.00234,7.70E-05,1.40E-05,3.97E-05,0.001,2.63E-04,2.20E-04,0.006173,8.15E-04,3.56E-04,4.50E-06,0,4.50E-06,4.50E-06,0.094,5.35E-07,1.60E-05,0,0,0,0,0,2.60E-04,1.10E-06,3.40E-06,9.998,14.692,2.632,0.0725,1.61E-05
BRAUNSCHWEIGER (A LIVER SAUSAGE),50.6,327,14.5,28.5,3.3,3.1,0,0,0.009,0.0112,0.011,0.168,0.199,0.977,0.00281,2.40E-04,1.55E-04,5.80E-05,0,2.49E-04,0.001525,0.008368,0.00338,3.30E-04,4.40E-05,0,4.40E-05,4.40E-05,0.2559,2.01E-05,0.00422,0,0,0,0,0,3.50E-04,1.20E-06,1.60E-06,9.307,12.731,3.193,0.18,0.0042153
BRAZILNUTS,3.42,659,14.32,67.1,3.43,11.74,7.5,2.33,0.16,0.00243,0.376,0.725,0.659,0.003,0.00406,0.001743,0.001223,0.001917,7.00E-04,6.17E-04,3.50E-05,2.95E-04,1.84E-04,1.01E-04,2.20E-05,0,2.20E-05,2.20E-05,0.0288,0,0,0,0,0,0,0,0.00565,0,0,16.134,23.879,24.399,0,0
BRD,33.69,298,5.4,8.02,1.75,51.15,5.5,11.3,0.059,5.30E-04,0.025,0.07,0.107,0.515,5.10E-04,5.30E-05,4.39E-04,1.10E-05,0,1.35E-04,2.70E-04,0.001405,0,9.50E-05,1.90E-05,0,1.90E-05,0,0,0,0,0,0,0,0,0,0.00161,0,0,0.629,4.721,1.957,0,0
Bread,33,272,10.75,2.42,1.96,51.88,2.2,4.62,0.052,0.00391,0.032,0.105,0.117,0.602,0.00104,1.52E-04,5.77E-04,2.86E-05,0,7.10E-04,4.27E-04,0.004817,4.55E-04,1.07E-04,1.23E-04,6.70E-05,5.60E-05,1.70E-04,0.008,0,0,0,0,0,0,4.50E-05,2.10E-04,0,7.00E-07,0.529,0.362,0.855,0,3.00E-07
BREAD,34.7,274,9,4.27,1.99,49.09,4.5,4.225,0.073,0.00291,0.034,0.137,0.147,0.459,9.60E-04,1.62E-04,5.73E-04,2.67E-05,0,3.59E-04,2.62E-04,0.003763,4.01E-04,8.50E-05,8.50E-05,4.75E-05,3.20E-05,1.18E-04,0.0161,0,0,0,1.00E-06,0,0,4.80E-05,3.65E-04,0,1.45E-06,0.764,1.432,1.351,0,1.20E-06
BREAD CRUMBS,6.43,389,13.74,5.39,4.21,70.235,4.7,5.97,0.1825,0.004875,0.0445,0.171,0.2135,1.034,0.00144,2.50E-04,9.52E-04,2.49E-05,0.00135,9.64E-04,4.09E-04,0.0063975,5.88E-04,1.46E-04,1.13E-04,8.65E-05,2.65E-05,1.74E-04,0.0146,3.50E-07,0,0,5.80E-05,0,0,0,1.70E-04,0,2.63E-05,1.297,1.0955,2.18,5.00E-04,2.90E-05
BREAD STICKS,6.1,412,12,9.5,3.9,68.4,3,1.26,0.022,0.00428,0.032,0.121,0.124,0.713,8.80E-04,1.88E-04,5.57E-04,3.75E-05,0,5.89E-04,5.53E-04,0.005281,5.40E-04,7.30E-05,1.62E-04,1.32E-04,3.00E-05,2.55E-04,0.0146,0,0,0,1.00E-06,0,0,6.50E-05,0.00101,0,2.20E-06,1.41,3.568,3.628,0,0
BREAD STUFFING,34.685,290.5,6.45,6.5,3.005,49.05,3.05,5.155,0.054,0.0021,0.0265,0.0755,0.1355,0.9655,4.90E-04,1.49E-04,3.38E-04,3.01E-05,4.00E-04,3.25E-04,2.26E-04,0.0031475,1.97E-04,9.25E-05,1.33E-04,8.55E-05,3.05E-05,1.92E-04,0.0146,1.50E-08,3.65E-05,0,5.80E-05,0,0,1.80E-05,8.50E-04,0,8.80E-06,1.3385,2.759,1.8895,0,7.46E-05
BREADFRUIT,70.65,103,1.07,0.23,0.93,27.12,4.9,11,0.017,5.40E-04,0.025,0.03,0.49,0.002,1.20E-04,8.40E-05,6.00E-05,6.00E-07,0.029,1.10E-04,3.00E-05,9.00E-04,4.57E-04,1.00E-04,1.40E-05,0,1.40E-05,1.40E-05,0.0098,0,0,0,0,0,0,2.20E-05,1.00E-04,0,5.00E-07,0.048,0.034,0.066,0,0
BREADFRUIT SEEDS,56.27,191,6.2,2.7,1.3,32,5.2,0,0.061,9.00E-04,0.054,0.175,0.941,0.025,9.00E-04,0.001148,1.42E-04,0,0.0066,4.10E-04,2.40E-04,0.0053,8.77E-04,3.20E-04,5.30E-05,0,5.30E-05,5.30E-05,0,0,0,0,0,0,0,0,0,0,0,0.729,0.344,1.438,0,7.68E-05
BREAKFAST BAR,14.5,377,4.4,7.5,0.8,72.9,2.1,35.1,0.041,0.00486,0.027,0.103,0.197,0.297,0.0041,1.00E-04,0,1.50E-05,0,0.001,0.0011,0.0135,0,0.0014,1.08E-04,9.50E-05,1.30E-05,1.74E-04,0.0343,0,6.08E-04,0,0,0,0,4.00E-05,7.60E-04,0,1.38E-05,1.5,5,0.9,0,6.08E-04
BREAKFAST BARS,4.1,464,9.8,17.6,1.8,66.7,3.1,27.52,0.06,0.00318,0.101,0.277,0.326,0.251,0.0016,3.60E-04,0,1.60E-05,0.001,2.80E-04,1.10E-04,0.00175,0,3.50E-04,8.10E-05,0,8.10E-05,8.10E-05,0.0276,0,0,0,9.10E-05,0,0,1.07E-04,8.20E-04,0,1.59E-05,12.69,1.933,1.634,0,4.56E-05
BREAKFAST ITEMS,44.48,312,11.13,20.77,2.56,21.05,0.2,0.95,0.051,0.0019,0.013,0.312,0.149,0.672,9.00E-04,2.44E-04,1.38E-04,2.26E-05,0,2.82E-04,2.63E-04,0.002467,9.39E-04,6.80E-05,4.20E-05,3.40E-05,9.00E-06,6.60E-05,0.0979,7.50E-07,3.90E-05,0,4.20E-05,2.00E-06,0,8.70E-05,9.50E-04,5.00E-07,4.40E-06,6.449,9.985,2.967,0.161,6.09E-05
BREAKFAST TART,12.04,372,3.99,5.99,1.18,76.8,1.5,4.87,0.044,0.00342,0.044,0.093,0.066,0.361,2.80E-04,7.30E-05,0,1.29E-05,0.0038,2.85E-04,5.49E-04,0.0038,0,3.80E-04,1.00E-04,4.70E-05,5.30E-05,1.33E-04,0.0084,0,2.85E-04,0,3.00E-06,1.00E-06,0,4.00E-06,5.30E-04,0,4.00E-07,1.393,3.338,0.878,0,2.85E-04
BROADBEANS,83.7,62,4.8,0.5,0.9,10.1,3.9,0,0.018,0.0015,0.031,0.073,0.193,0.05,4.70E-04,6.00E-05,2.61E-04,1.00E-06,0.0198,1.28E-04,9.00E-05,0.0012,6.60E-05,2.90E-05,5.80E-05,0,5.80E-05,5.80E-05,0,0,0,0,0,0,0,0,0,0,0,0.142,0.02,0.303,0,8.10E-05
BROADBEANS (FAVA BEANS),10.98,341,26.12,1.53,3.08,58.29,25,5.7,0.103,0.0067,0.192,0.421,1.062,0.013,0.00314,8.24E-04,0.001626,8.20E-06,0.0014,5.55E-04,3.33E-04,0.002832,9.76E-04,3.66E-04,4.23E-04,0,4.23E-04,4.23E-04,0.0958,0,0,0,3.20E-05,0,0,0,5.00E-05,0,9.00E-06,0.254,0.303,0.627,0,1.59E-05
BROADBEANS (FAVA BNS),71.54,110,7.6,0.4,0.81,19.65,5.4,1.82,0.036,0.0015,0.043,0.125,0.268,0.241,0.00101,2.59E-04,4.21E-04,2.60E-06,3.00E-04,9.70E-05,8.90E-05,7.11E-04,1.57E-04,7.20E-05,1.04E-04,0,1.04E-04,1.04E-04,0.0306,0,0,0,9.00E-06,0,0,0,2.00E-05,0,2.90E-06,0.066,0.079,0.164,0,4.50E-06
BROCCOLI,90.705,28,2.98,0.35,0.77,5.35,3,1.47,0.048,6.70E-04,0.02,0.057,0.2675,0.027,4.00E-04,4.50E-05,2.29E-04,1.90E-06,0.06065,6.40E-05,1.18E-04,4.66E-04,2.79E-04,1.45E-04,7.10E-05,0,7.10E-05,7.10E-05,0.0187,0,0,1.50E-05,6.63E-04,1.00E-06,0,0.001095,0.00132,0,8.91E-05,0.053,0.024,0.1645,0,3.38E-04
BROCCOLI RAAB,91.98,27.5,3.5,0.505,1.02,2.985,2.75,0.5,0.113,0.001705,0.0245,0.0775,0.2695,0.0445,6.55E-04,5.85E-05,3.88E-04,1.15E-06,0.0286,1.66E-04,1.35E-04,0.001618,3.85E-04,1.96E-04,7.70E-05,0,7.70E-05,7.70E-05,0.02595,0,0,0,0.0021465,0,0,0.001402,0.002075,0,2.40E-04,0.0535,0.028,0.14,0,0.00107325
BROTWURST,51.3,323,14.3,27.8,3.67,2.98,0,2.98,0.048,0.00103,0.016,0.134,0.281,1.112,0.0021,8.00E-05,4.00E-05,1.70E-05,0,2.50E-04,2.30E-04,0.0033,6.00E-05,1.30E-04,5.00E-06,0,5.00E-06,5.00E-06,0,2.05E-06,0,0,0,0,0,0,2.70E-04,3.00E-07,0,9.93,13.34,2.83,0.063,0
BRUSSELS SPROUTS,86.905,41.5,3.51,0.4,0.93,8.09,3.8,2.08,0.031,0.001065,0.02,0.056,0.317,0.023,3.20E-04,5.20E-05,2.27E-04,1.50E-06,0.062,1.06E-04,1.02E-04,6.07E-04,2.97E-04,2.11E-04,8.10E-05,0,8.10E-05,8.10E-05,0.0191,0,0,0,4.65E-04,0,0,0.001541,5.10E-04,0,1.77E-04,0.0825,0.0305,0.2035,0,2.32E-04
BUCKWHEAT FLR,11.15,335,12.62,3.1,2.54,70.59,10,2.6,0.041,0.00406,0.251,0.337,0.577,0.011,0.00312,5.15E-04,0.00203,5.70E-06,0,4.17E-04,1.90E-04,0.00615,4.40E-04,5.82E-04,5.40E-05,0,5.40E-05,5.40E-05,0.0542,0,0,0,0,0,0,2.20E-04,3.20E-04,0,7.00E-06,0.677,0.949,0.949,0,0
BUCKWHEAT GROATS,42.02,219,7.555,1.665,1.315,47.445,6.5,0.9,0.012,0.001635,0.136,0.1945,0.204,0.0075,0.001515,3.85E-04,0.0010105,5.30E-06,0,1.32E-04,1.55E-04,0.0030375,7.96E-04,2.15E-04,2.80E-05,0,2.80E-05,2.80E-05,0.03715,0,0,0,0,0,0,6.00E-05,9.00E-05,0,1.90E-06,0.3625,0.508,0.508,0,0
BUFFALO,70.12,121.5,26.975,1.55,1.08,0,0,0,0.0035,0.003185,0.0245,0.223,0.3655,0.042,0.00403,1.53E-04,1.10E-05,8.75E-06,0,1.61E-04,3.94E-04,0.00697,8.85E-04,7.87E-04,8.00E-06,0,8.00E-06,8.00E-06,0,1.41E-06,0,0,0,0,0,0,5.90E-04,0,0,0.5065,0.5195,0.1345,0.082,0
BULGUR,43.38,212.5,7.685,0.785,0.925,47.225,8.5,0.255,0.0225,0.00171,0.098,0.17,0.239,0.011,0.00125,2.05E-04,0.0018285,1.45E-06,0,1.45E-04,7.15E-05,0.003057,6.94E-04,2.13E-04,2.25E-05,0,2.25E-05,2.25E-05,0.0175,0,0,0,3.00E-06,0,0,1.37E-04,3.50E-05,0,1.20E-06,0.137,0.102,0.3195,0,1.65E-06
BURBOT,76.335,102.5,22.035,0.925,1.325,0,0,0,0.057,0.001025,0.0365,0.228,0.461,0.1105,8.65E-04,2.28E-04,7.99E-04,1.44E-05,0,4.01E-04,1.56E-04,0.0017965,1.61E-04,3.23E-04,1.00E-06,0,1.00E-06,1.00E-06,0,8.60E-07,5.00E-06,0,0,0,0,0,0,0,0,0.186,0.1515,0.339,0.0685,4.80E-06
BURDOCK ROOT,75.64,88,2.09,0.14,0.98,21.15,1.8,3.55,0.049,7.70E-04,0.039,0.093,0.36,0.005,3.80E-04,8.90E-05,2.70E-04,9.00E-07,0.0026,3.90E-05,5.80E-05,3.20E-04,3.53E-04,2.79E-04,2.00E-05,0,2.00E-05,2.00E-05,0.013,0,0,0,0,0,0,0,4.60E-04,0,2.00E-06,0.024,0.036,0.057,0,0
BURGER KING,46.37,282.5,11.64,15.495,2.125,23.355,1.4,3.82,0.077,0.001885,0.019,0.127,0.1905,0.565,0.00109,8.15E-05,2.20E-04,1.93E-05,2.00E-04,2.15E-04,1.80E-04,0.002754,3.36E-04,1.14E-04,4.50E-05,2.60E-05,1.75E-05,6.50E-05,0.01865,4.35E-07,8.60E-05,0,2.00E-06,0,0,3.80E-05,9.30E-04,0,1.13E-05,4.508,5.585,3.2515,0.036,2.55E-06
BURRITO,50.48,239,7.26,9.61,1.81,34.01,4.2,1.36,0.039,0.00296,0.032,0.097,0.221,0.587,9.90E-04,2.11E-04,4.81E-04,1.27E-05,8.00E-04,3.93E-04,2.30E-04,0.002889,8.00E-06,9.00E-05,8.00E-05,5.30E-05,2.30E-05,1.23E-04,0.0225,1.10E-07,0,0,1.17E-04,2.10E-05,0.002533,5.20E-05,6.40E-04,0,7.50E-06,2.949,3.789,1.763,0.008,6.36E-05
BUTTER,17.94,717,0.85,78.3,1,0.06,0,0.06,0.024,5.00E-05,0.002,0.024,0.041,0.45,9.00E-05,0,1.00E-06,1.00E-06,0,7.00E-06,6.40E-05,2.20E-05,1.10E-04,8.00E-06,3.00E-06,0,3.00E-06,3.00E-06,0.0188,1.30E-07,6.71E-04,0,1.35E-04,0,0,0,0.00158,0,4.80E-06,45.39,19.874,3.01,0.215,7.40E-04
BUTTER OIL,0.24,876,0.28,99.48,0,0,0,0,0.004,0,0,0.003,0.005,0.002,1.00E-05,1.00E-06,0,0,0,1.00E-06,5.00E-06,3.00E-06,1.00E-05,1.00E-06,0,0,0,0,0.0223,1.00E-08,8.24E-04,0,1.93E-04,0,0,0,0.0028,0,8.60E-06,61.924,28.732,3.694,0.256,9.21E-04
BUTTER REPLCMNT,5,373,2,1,3,89,0,5.3,0.023,0.002,0,0.008,0.002,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-04,0,0,0,0,0,0,0,0,0,0,0.589,0.276,0.057,0.002,0
BUTTERBUR,96.7,8,0.23,0.03,1.17,2.16,0,0,0.059,1.00E-04,0.008,0.007,0.354,0.0055,9.00E-05,5.90E-05,1.56E-04,9.00E-07,0.0189,1.00E-05,1.00E-05,1.20E-04,1.80E-05,5.20E-05,4.00E-06,0,4.00E-06,4.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10E-06
BUTTERFISH,70.48,166.5,19.715,9.15,1.37,0,0,0,0.025,5.70E-04,0.0285,0.274,0.428,0.1015,8.80E-04,6.15E-05,1.70E-05,4.16E-05,0,1.33E-04,1.71E-04,0.0051345,8.08E-04,3.23E-04,1.60E-05,0,1.60E-05,1.60E-05,0,1.87E-06,3.15E-05,0,0,0,0,0,0,0,0,3.38,3.38,0.59,0.074,3.13E-05
BUTTERNUTS,3.34,612,24.9,56.98,2.73,12.05,4.7,0,0.053,0.00402,0.237,0.446,0.421,0.001,0.00313,4.50E-04,0.00656,1.72E-05,0.0032,3.83E-04,1.48E-04,0.001045,6.33E-04,5.60E-04,6.60E-05,0,6.60E-05,6.60E-05,0,0,0,0,0,0,0,0,0,0,0,1.306,10.425,42.741,0,3.72E-05
CABBAGE,92.52,24,1.5,0.16,0.7,5.41,2.2,1.84,0.045,5.60E-04,0.015,0.033,0.238,0.028,2.00E-04,2.50E-05,1.70E-04,6.00E-07,0.026,5.00E-05,4.40E-05,3.82E-04,1.51E-04,1.66E-04,4.60E-05,0,4.60E-05,4.60E-05,0.0155,0,0,1.00E-06,1.33E-04,0,0,3.50E-05,1.20E-04,0,4.76E-05,0.021,0.0125,0.055,0,9.54E-05
CAKE,22.04,374,4.4,11.54,1.8,61,1.05,37.3,0.077,0.00158,0.012,0.143,0.106,0.4,3.50E-04,6.70E-05,2.10E-04,6.35E-06,5.00E-05,1.72E-04,1.90E-04,0.001349,2.56E-04,3.10E-05,3.70E-05,2.50E-05,9.00E-06,5.45E-05,0.0107,7.50E-08,5.00E-06,0,0,0,0,4.00E-06,6.50E-04,0,3.45E-06,2.692,4.3,2.3045,0.0025,5.85E-06
CAMPBELLS RED & WHITE,93.5,16,3.23,0,2.4,0.81,0,0.81,0,0,0,0,0.032,0.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANADA GOOSE,70.78,133,24.31,4.02,1.41,0,0,0,0.004,0.00591,0.029,0.256,0.336,0.05,0.00168,4.43E-04,5.00E-05,0,0,2.84E-04,0.001523,0.00656,0,0.001077,0,0,0,0,0,4.10E-06,1.10E-05,0,0,0,0,0,5.70E-04,0,0,0.609,0.817,0.347,0.08,1.14E-05
CANADIAN BACON,67.42,128,24.31,2.7,3.99,1.57,0,1.05,0.0065,5.00E-04,0.0235,0.2745,0.841,0.872,0.00148,5.80E-05,1.55E-05,4.38E-05,0,5.90E-04,1.63E-04,0.0086075,6.65E-04,2.61E-04,4.00E-06,0,4.00E-06,4.00E-06,0.09045,4.00E-07,0,0,0,0,0,0,3.15E-04,1.50E-07,1.00E-07,0.9695,1.1725,0.476,0.0575,0
CANDIES,3.015,480,5.04,23.39,1.275,64.275,2.35,53.41,0.069,9.50E-04,0.045,0.1245,0.2595,0.087,9.90E-04,2.20E-04,3.17E-04,2.40E-06,3.00E-04,6.00E-05,1.02E-04,4.27E-04,2.64E-04,4.40E-05,9.00E-06,0,9.00E-06,9.00E-06,0.0213,1.10E-07,1.25E-05,0,0,0,0,1.00E-06,6.50E-04,0,2.75E-06,10.5235,5.2325,1.0135,0.007,1.53E-05
CAPERS,83.85,23,2.36,0.86,8.04,4.89,3.2,0.41,0.04,0.00167,0.033,0.01,0.04,2.348,3.20E-04,3.74E-04,7.80E-05,1.20E-06,0.0043,1.80E-05,1.39E-04,6.52E-04,2.70E-05,2.30E-05,2.30E-05,0,2.30E-05,2.30E-05,0.0065,0,0,0,8.30E-05,0,0,0,8.80E-04,0,2.46E-05,0.233,0.063,0.304,0,4.14E-05
CARAMBOLA,91.38,31,1.04,0.33,0.52,6.73,2.8,3.98,0.003,8.00E-05,0.01,0.012,0.133,0.002,1.20E-04,1.37E-04,3.70E-05,6.00E-07,0.0344,1.40E-05,1.60E-05,3.67E-04,3.91E-04,1.70E-05,1.20E-05,0,1.20E-05,1.20E-05,0.0076,0,0,2.40E-05,2.50E-05,0,0,6.60E-05,1.50E-04,0,0,0.019,0.03,0.184,0,1.83E-05
CARBONATED BEV,89.2,42,0,0,0.1,10.7,0,12,0.004,5.00E-05,0.001,0,0.002,0.012,7.00E-05,1.30E-05,1.70E-05,0,0,0,0,0,0,0,0,0,0,0,1.50E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDOON,93.46,20,0.76,0.11,0.93,4.74,1.7,0,0.072,7.30E-04,0.043,0.023,0.392,0.176,1.80E-04,1.30E-04,1.33E-04,1.00E-06,0.0017,1.80E-05,3.10E-05,2.94E-04,9.70E-05,4.20E-05,2.20E-05,0,2.20E-05,2.20E-05,0,0,0,0,0,0,0,0,0,0,0,0.012,0.02,0.044,0,0
CARIBOU,59.8,257.5,18.815,5.025,1.365,0,0,0,0.006,0.00475,0.043,0.2225,0.515,0.221,0.00685,4.63E-04,7.10E-05,2.35E-05,0,2.91E-04,9.62E-04,0.00652,0.002515,4.36E-04,4.00E-06,0,4.00E-06,4.00E-06,0.2027,7.11E-06,7.30E-05,0,0,0,0,0,3.90E-04,0,1.25E-06,1.568,1.1955,0.595,0.124,8.28E-05
CARISSA,84.17,62,0.5,1.3,0.4,13.63,0,0,0.011,0.00131,0.016,0.007,0.26,0.003,0,2.10E-04,0,0,0.038,4.00E-05,6.00E-05,2.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-05
CARP,72.97,144.5,20.345,6.385,1.665,0,0,0,0.0465,0.001415,0.0335,0.473,0.38,0.056,0.00169,6.50E-05,4.60E-05,1.44E-05,0.0016,1.28E-04,6.25E-05,0.00187,8.10E-04,2.05E-04,1.60E-05,0,1.60E-05,1.60E-05,0.065,1.50E-06,9.50E-06,0,0,0,0,0,6.30E-04,2.47E-05,1.00E-07,1.2355,2.6565,1.633,0.075,9.30E-06
CARRABBA'S ITALIAN GRILL,66.8,156,7.96,6,1.63,15.71,1.4,2.77,0.135,7.40E-04,0.021,0.126,0.195,0.371,8.10E-04,7.90E-05,1.83E-04,2.09E-05,8.00E-04,9.00E-05,1.70E-04,0.001597,4.60E-04,1.06E-04,2.20E-05,0,0,0,0.01215,4.30E-07,4.10E-05,0,1.56E-04,0,0.002401,1.12E-04,8.40E-04,0,3.85E-06,2.817,1.924,0.494,0.03,1.07E-04
CARROT,4,341,8.1,1.49,6.84,79.57,23.6,38.82,0.212,0.00393,0.118,0.346,2.54,0.275,0.00157,3.70E-04,0.001116,8.60E-06,0.0146,5.34E-04,4.17E-04,0.006567,0.001471,0.00104,5.50E-05,0,5.50E-05,5.50E-05,0.0721,0,0,0.014251,0.033954,0,3.00E-06,0.001051,0.00545,0,1.08E-04,0.256,0.076,0.73,0,0.0205398
CARROT JUICE,88.87,40,0.95,0.15,0.75,9.28,0.8,3.91,0.024,4.60E-04,0.014,0.042,0.292,0.066,1.80E-04,4.60E-05,1.30E-04,6.00E-07,0.0085,9.20E-05,5.50E-05,3.86E-04,2.28E-04,2.17E-04,4.00E-06,0,4.00E-06,4.00E-06,0.0099,0,0,0.004342,0.009303,0,2.00E-06,3.33E-04,0.00116,0,1.55E-05,0.027,0.007,0.071,0,0.0057372
CARROTS,90.32,35,0.64,0.19,0.69,7.73,2.9,3.45,0.031,5.20E-04,0.01,0.03,0.192,0.069,2.60E-04,8.20E-05,1.67E-04,6.00E-07,0.0026,3.00E-05,3.70E-05,5.52E-04,1.74E-04,1.12E-04,1.00E-05,0,1.00E-05,1.00E-05,0.00805,0,0,0.003477,0.007047,0,0,2.56E-04,7.40E-04,0,1.32E-05,0.036,0.009,0.092,0,0.004263
CASHEW BUTTER,2.65,598,14.84,51.22,2.5,28.935,2.5,9.09,0.052,0.00497,0.232,0.4225,0.4965,0.155,0.004795,0.001974,8.15E-04,1.04E-05,0,2.35E-04,1.73E-04,0.0013535,0.001201,2.28E-04,6.15E-05,0,6.15E-05,6.15E-05,0.0483,0,0,0,0,0,0,1.80E-05,0.00508,0,3.03E-05,10.1845,27.9155,10.8625,0,0
CASHEW NUTS,2.02,577,16.075,47.06,3.42,31.425,3.15,5.01,0.044,0.006025,0.2665,0.5105,0.5985,0.162,0.005475,0.0021315,0.001247,1.60E-05,1.50E-04,2.81E-04,2.09E-04,0.001568,0.0010485,2.90E-04,4.70E-05,0,4.70E-05,4.70E-05,0.061,0,0,0,0,0,0,2.30E-05,9.20E-04,0,3.47E-05,8.8175,26.62,8.191,0,0
